City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
210,la'ie,21.6477,-157.9253,25.98,89,30,0.45,US,1706472453
211,zvishavane,-20.3267,30.0665,21.82,56,0,1.28,ZW,1706472453
212,richards bay,-28.783,32.0377,23.92,80,100,3.18,ZA,1706472197
213,panaba,21.2833,-88.2667,23.62,71,100,7.06,MX,1706472454
214,dali,25.7,100.1833,3.69,82,1,1.74,CN,1706472454
215,shindand,33.3029,62.1474,9.75,51,0,2.35,AF,1706472455
216,east london,-33.0153,27.9116,25.36,88,98,5.4,ZA,1706472455
217,callao,-12.0667,-77.15,29.16,58,0,5.66,PE,1706472455
218,kosonsoy,41.2561,71.5508,4.31,52,100,1.57,UZ,1706472456
219,nilanga,18.1,76.7667,20.79,25,100,3.02,IN,1706472456
220,anse a galets,18.8317,-72.8642,27.67,61,8,3.62,HT,1706472456
221,college,64.8569,-147.8028,-35.61,68,75,0.0,US,1706472457
222,kapa'a,22.0752,-159.319,27.28,70,0,6.17,US,1706472457
223,kodinsk,58.6881,99.1844,-32.53,100,35,1.29,RU,1706472457
224,nemuro,43.3236,145.575,0.12,83,100,6.74,JP,1706472458
225,monrovia,6.3005,-10.7969,27.7,83,81,4.02,LR,1706472458
226,antsiranana,-12.2787,49.2917,24.99,86,31,3.39,MG,1706472458
227,dolores,-36.3132,-57.6792,27.84,36,6,6.87,AR,1706472459
228,hasaki,35.7333,140.8333,2.38,52,1,9.2,JP,1706472459
229,georgetown,5.4112,100.3354,26.96,69,20,4.12,MY,1706472459
230,katsuura,35.1333,140.3,6.11,61,4,5.91,JP,1706472460
231,altamira,-3.2033,-52.2064,28.13,71,100,1.39,BR,1706472460
232,peace river,56.2501,-117.286,3.6,92,1,3.99,CA,1706472461
233,santana,-0.0583,-51.1817,32.1,58,75,4.63,BR,1706472204
234,ploneour-lanvern,47.9,-4.2833,11.18,93,100,3.6,FR,1706472461
235,portage la prairie,49.9728,-98.2926,3.39,90,16,2.75,CA,1706472443
236,fort-shevchenko,44.5086,50.263,-0.38,96,100,5.18,KZ,1706472462
237,weno,7.4515,151.8468,26.97,78,75,4.12,FM,1706472462
238,khodzha-maston,38.7446,68.627,3.68,100,100,3.98,TJ,1706472462
239,gwadar,25.1216,62.3254,23.14,77,98,4.99,PK,1706472463
240,coahuayana de hidalgo,18.7,-103.6583,32.52,42,8,3.33,MX,1706472463
241,ulsteinvik,62.3432,5.8487,13.5,60,32,11.85,NO,1706472464
242,gamba,-2.65,10.0,26.77,86,75,2.26,GA,1706472464
243,nkowakowa,-23.8878,30.2871,23.78,59,100,1.48,ZA,1706472464
244,al ghayzah,16.2079,52.176,24.38,74,94,2.51,YE,1706472464
245,tommot,58.9564,126.2925,-42.69,100,99,0.26,RU,1706472465
246,jiazi,22.8779,116.067,12.58,89,100,7.1,CN,1706472465
247,antonio enes,-16.2325,39.9086,25.7,76,11,1.97,MZ,1706472466
248,zalingei,12.9096,23.4741,19.48,18,6,0.78,SD,1706472466
249,urangan,-25.3,152.9,26.78,98,100,2.68,AU,1706472466
250,aasiaat,68.7098,-52.8699,-29.85,98,100,3.33,GL,1706472467
251,sanming,26.2486,117.6186,9.61,91,100,0.94,CN,1706472467
252,danli,14.0333,-86.5833,29.63,36,4,4.46,HN,1706472467
253,amurzet,47.6967,131.0981,-17.93,98,100,1.54,RU,1706472468
254,fort mcmurray,56.7268,-111.381,6.2,83,100,4.38,CA,1706472468
255,umm kaddadah,13.6017,26.6876,16.39,25,2,5.36,SD,1706472468
256,yellowknife,62.456,-114.3525,-11.99,98,96,0.43,CA,1706472468
257,vizinga,61.0749,50.1031,-10.46,95,85,3.12,RU,1706472469
258,qadirpur ran,30.2924,71.6712,10.94,33,0,0.65,PK,1706472469
259,taroa,8.7058,171.2275,25.89,81,100,6.6,MH,1706472469
260,ma'rib,15.4591,45.3253,22.77,37,53,1.51,YE,1706472469
261,senanga,-16.1167,23.2667,22.81,59,4,2.15,ZM,1706472470
262,ust'-kulom,61.6864,53.6902,-12.1,96,100,2.12,RU,1706472470
263,badger,64.8,-147.5333,-35.66,60,75,0.0,US,1706472470
